"","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"Adair",0,210.49,448.415,228.278,47.069,113.713,255.876,125.081,327.025,126.119,164.79,291.576,101.915,82.546,47.551,204.272,284.244,208.046,344.155,139.361,379.417,436.548,409.653,89.543,151.168,267.352,173.786,376.319,90.061,259.699,415.039,244.455,380.463,317.352,338.86,211.85,290.506,221.843,31.797,175.744,72.853,222.5,116.818,280.203,239.999,167.674,158.68,234.01,431.773,98.757,80.897,275.71,100.863,368.353,349.104,94.413,319.241,302.113,168.165,354.797,57.315,189.573,309.112,102.007,147.466,330.629,437.859,135.969,263.012,338.112,252.221,139.361,109.757,140.679,300.131,155.905,249.346,116.555,127.072,125.611,102.287,290.164,70.188,159.382,150.701,202.86,187.949,196.421,297.633,350.39,207.412,274.371,349.888,246.81,289.042,415.49,217.991,121.801,216.838
"Adams",209.699,0,324.517,88.684,260.373,212.076,79.511,179.231,185.221,283.281,44.23,194.95,271.772,260.078,179.872,27.907,295.005,394.711,219.86,130.154,235.822,305.126,266.058,121.394,83.558,92.616,169.147,232.785,121.391,428.306,271.444,412.432,233.806,233.601,164.124,35.485,188.685,125.427,193.067,48.324,280.877,183.157,324.842,423.731,140.41,283.58,330.029,90.415,288.178,264.069,220.458,483.734,154.916,193.617,174.368,106.764,175.646,158.518,106.495,562.821,168.222,13.208,165.517,236.831,355.49,266.479,305.095,62.794,444.896,145.914,437.574,130.154,268.006,53.089,310.892,323.882,72.981,324.579,93.798,201.271,281.329,146.569,278.212,367.406,136.2,76.139,105.056,133.252,122.897,146.262,63.817,93.324,206.293,46.342,299.803,273.158,426.015,165.444,97.941
"Allamakee",447.695,323.981,0,405.809,456.092,513.032,297.567,338.333,124.394,572.578,318.828,148.984,377.691,419.18,413.579,331.153,172.649,398.408,105.514,435.678,156.519,60.561,254.465,406.55,367.842,390.58,470.103,112.384,359.449,354.725,135.66,329.992,70.823,138.408,330.247,331.614,145.541,202.451,426.409,365.449,518.873,242.274,480.83,482.686,459.347,289.282,430.946,214.296,195.517,385.016,379.56,504.558,457.838,359.74,318.834,357.798,185.298,167.215,402.452,487.951,406.218,330.332,168.911,539.753,593.486,133.895,30.109,343.98,362.328,255.413,435.056,435.678,556.216,335.347,156.83,325.493,303.98,562.575,308.274,502.227,391.557,233.791,516.208,506.301,300.919,224.113,243.215,239.598,355.753,293.676,239.186,267.393,162.785,275.145,196.399,31.893,500.73,336.472,415.066
"Appanoose",229.147,89.394,407.034,0,279.821,127.43,118.433,213.615,271.831,198.635,133.402,281.56,306.156,294.462,212.036,74.457,329.389,429.095,306.47,106.002,318.339,387.643,348.575,162.648,92.041,41.254,81.754,315.302,138.311,462.69,353.961,446.816,315.831,362.497,129.025,82.035,335.651,212.037,235.887,54.586,300.325,267.645,344.29,458.115,52.183,317.964,386.152,172.44,370.695,298.453,254.842,503.182,129.8,151.711,185.788,137.683,258.163,241.035,79.83,582.269,178.222,76.185,248.034,168.226,278.115,375.774,387.612,103.614,479.28,234.358,471.958,106.002,193.556,115.189,345.276,358.266,111.903,307.025,144.027,116.625,315.713,234.07,297.66,386.854,195.846,162.749,182.838,197.253,90.47,202.472,145.842,152.743,288.81,127.464,334.187,359.768,445.463,197.608,35.535
"Audubon",47.077,261.198,448.911,278.986,0,162.201,306.584,134.302,327.521,133.632,215.498,292.39,83.175,44.766,55.871,254.98,285.058,158.519,344.969,190.069,430.125,437.044,460.361,140.251,201.876,318.06,224.494,376.815,140.769,212.629,465.747,227.29,380.959,318.166,389.568,262.558,291.32,272.551,40.117,226.452,73.089,222.996,70.724,187.539,290.707,165.873,109.153,284.718,482.481,71.809,89.905,275.946,151.571,419.061,399.812,145.121,369.949,352.821,218.873,355.033,108.023,240.281,359.82,136.95,147.702,331.443,438.355,186.677,215.942,388.82,202.694,190.069,117.27,191.387,300.945,138.74,300.054,116.791,177.78,173.006,64.507,340.872,70.424,107.333,169.739,253.568,238.657,247.129,348.341,401.098,258.12,325.079,400.596,297.518,277.871,416.304,218.227,131.584,267.546
"Benton",113.762,211.658,512.803,127.429,162.311,0,246.751,201.393,391.413,71.204,229.178,355.964,199.943,207.078,136.243,202.756,348.632,318.008,408.543,80.324,443.805,500.936,474.041,124.638,142.334,168.684,45.675,440.707,154.744,358.357,479.427,342.483,444.851,381.74,256.455,210.334,354.894,286.231,120.489,173.043,159.992,286.888,226.78,386.57,111.888,264.881,268.642,298.398,496.161,196.785,169.589,382.077,60.972,279.141,314.106,159.096,383.629,366.501,105.531,461.164,117.07,198.449,373.5,40.795,150.684,395.017,502.247,201.599,378.254,402.5,362.183,80.324,66.125,206.309,364.519,253.933,240.221,179.594,191.46,10.804,226.819,354.552,180.15,265.749,215.089,267.248,252.337,260.809,217.9,330.79,271.8,281.061,414.276,249.728,353.43,479.878,324.358,186.189,116.52
"Black Hawk",256.595,79.512,297.539,118.639,307.269,246.993,0,233.075,249.053,318.198,120.958,264.26,325.616,313.922,233.716,51.603,346.182,448.555,289.17,167.577,208.844,278.148,220.169,174.489,136.653,73.53,204.064,205.807,164.433,482.15,244.466,466.276,237.922,302.911,97.457,44.026,288.495,199.59,263.335,99.662,327.773,242.777,371.738,477.575,170.365,337.424,383.873,93.883,242.289,317.913,274.302,530.63,191.375,126.95,92.56,159.859,148.668,131.54,141.405,609.717,205.67,66.302,138.539,273.29,342.993,335.789,278.117,115.889,498.74,104.444,491.418,167.577,304.465,127.464,349.035,377.726,6.529,371.475,153.418,236.188,335.173,102.359,325.108,414.302,195.82,142.303,189.44,217.636,50.714,82.766,96.647,38.791,179.315,53.963,353.647,295.128,472.911,219.288,127.896
"Boone",124.524,180.108,338.354,215.496,134.291,200.204,234.45,0,216.964,249.407,134.408,181.515,97.343,85.649,80.048,182.846,174.183,217.017,234.094,122.85,272.16,326.487,318.167,93.722,138.386,245.915,157.275,266.258,78.558,250.612,327.197,234.738,270.402,207.291,317.423,190.424,180.445,133.094,92.878,162.962,195.702,112.439,157.176,246.037,215.451,105.881,163.996,168.805,308.958,89.64,46.029,296.677,145.01,346.916,345.166,76.907,218.872,193.832,151.654,389.566,83.006,168.147,200.824,226.925,270.315,220.568,327.798,117.697,267.202,307.73,259.88,122.85,233.045,128.519,190.07,146.188,227.92,239.404,80.167,189.399,106.9,259.782,193.037,193.446,40.35,114.057,99.2,97.084,276.196,320.008,177.03,252.945,242.631,216.428,160.792,305.429,264.081,15.286,199.942
"Bremer",326.115,185.239,124.481,271.139,334.512,391.452,248.817,216.753,0,450.998,180.137,22.562,256.111,297.6,291.999,207.211,103.263,268.746,37.037,314.098,186.351,133.392,259.529,284.97,246.262,259.514,348.523,123.158,237.869,287.326,184.097,271.899,56.343,59.992,281.497,207.672,45.576,80.871,304.829,230.779,397.293,103.773,359.25,361.106,316.521,159.62,309.366,135.957,224.856,263.436,257.98,343.371,336.258,310.99,270.084,236.218,148.684,118.465,280.872,480.306,284.638,195.663,125.32,418.173,471.906,92.87,112.331,201.154,354.683,232.989,321.584,314.098,434.636,196.656,106.116,195.831,255.23,440.995,186.694,380.647,269.977,185.041,394.628,384.721,179.339,109.097,121.635,118.018,307.003,244.926,136.291,218.643,166.236,185.372,155.941,97.389,379.15,214.892,280.396
"Buchanan",126.349,282.863,572.644,198.634,133.649,71.204,317.956,249.31,451.254,0,289.019,415.805,216.825,178.416,173.716,273.961,408.473,283.015,468.384,151.529,503.646,560.777,533.882,175.587,213.539,239.889,116.88,500.548,214.29,346.279,539.268,360.94,504.692,441.581,327.66,281.539,414.735,346.072,157.962,244.248,125.782,346.729,191.787,351.034,183.093,295.158,233.649,358.239,556.002,205.459,207.062,346.541,129.313,350.346,385.311,218.642,443.47,426.342,176.736,425.628,181.544,269.654,433.341,53.102,115.148,454.858,562.088,272.804,349.592,462.341,327.19,151.529,21.415,277.514,424.36,272.39,311.426,144.058,251.301,82.009,198.157,414.393,145.157,230.213,274.93,327.089,312.178,320.65,289.105,401.995,331.641,352.266,474.117,320.933,413.271,539.719,288.822,246.03,187.725
"Buena Vista",163.972,44.23,319.413,132.751,214.646,229.309,120.957,133.504,177.66,288.855,0,152.809,226.045,214.351,134.145,69.353,249.278,348.984,210.878,151.955,230.718,300.022,260.954,122.827,74.83,136.683,186.38,227.681,75.664,382.579,266.34,366.705,228.702,193.686,238.262,76.931,160.062,96.804,147.34,64.173,235.15,137.43,279.115,378.004,143.559,237.853,284.302,85.311,283.074,218.342,174.731,438.007,174.115,267.755,226.849,74.013,170.542,153.414,105.71,517.094,122.495,54.654,160.413,256.03,309.763,211.482,299.991,28.192,399.169,189.413,391.847,151.955,272.493,15.881,265.165,278.155,114.427,278.852,48.071,218.504,235.602,141.465,232.485,321.679,90.473,64.599,59.312,87.508,166.964,201.691,58.713,175.408,201.189,98.111,254.076,261.618,380.288,119.717,128.05
"Butler",290.254,194.827,148.804,280.727,298.967,355.591,264.568,180.892,22.562,415.137,155.948,0,220.566,261.739,256.138,221.483,85.358,243.639,46.133,278.237,202.102,155.582,275.28,249.109,261.836,273.786,312.662,138.909,202.008,269.421,199.848,253.994,78.906,42.087,297.248,221.944,22.668,59.107,268.968,226.964,361.432,78.666,323.705,325.561,338.901,134.513,273.821,150.229,240.607,227.891,222.119,318.264,300.397,326.741,285.835,200.357,164.435,134.216,280.045,462.401,248.777,205.251,141.071,382.312,436.045,74.965,136.654,176.632,336.778,248.74,286.323,278.237,398.775,174.146,88.211,170.724,270.981,405.134,164.93,344.786,234.432,200.792,358.767,349.176,164.084,118.685,99.871,95.856,322.754,260.677,150.563,234.394,181.987,199.644,138.036,118.882,343.605,179.031,323.392
"Calhoun",101.918,272.616,370.548,308.004,83.213,199.86,326.958,97.421,249.158,216.846,226.916,214.027,0,34.678,95.813,275.354,206.695,131.227,266.606,206.119,361.645,358.681,410.675,176.991,230.894,338.423,240.544,298.452,171.066,164.801,359.391,148.927,302.596,239.803,409.931,282.932,212.957,190.65,79.453,255.47,156.303,144.633,108.301,160.247,306.757,87.51,75.628,261.313,400.15,7.325,55.657,210.887,200.149,439.424,437.674,169.415,323.978,293.759,234.923,303.776,150.623,260.655,300.614,203.926,230.916,253.08,359.992,210.205,174.344,400.238,174.09,206.119,200.484,221.027,222.582,60.377,320.428,200.005,172.675,211.758,18.678,352.29,153.638,144.571,132.858,206.565,191.708,143.583,368.704,412.516,269.538,345.453,341.53,308.936,199.508,337.941,178.291,107.794,283.596
"Carroll",82.537,260.904,405.654,296.292,44.795,192.692,315.246,85.709,284.264,178.428,215.204,249.133,34.678,0,84.167,263.642,241.801,130.12,301.712,194.407,352.956,393.787,398.963,165.279,219.182,326.711,228.832,333.558,159.354,176.992,394.497,184.033,337.702,274.909,398.219,271.22,248.063,213.89,72.285,243.758,117.885,179.739,71.526,159.14,295.045,122.616,78.346,249.601,389.754,27.353,43.88,209.78,179.842,427.712,425.962,157.703,299.668,274.628,223.211,302.669,136.451,248.943,281.62,181.746,192.498,288.186,395.098,198.493,180.305,388.526,172.983,194.407,162.066,209.315,257.688,95.483,308.716,161.587,160.963,204.59,21.25,340.578,115.22,107.796,121.146,194.853,179.996,177.88,356.992,400.804,257.826,333.741,323.427,297.224,234.614,373.047,155.034,96.082,271.884
"Cass",47.568,179.703,413.608,210.951,55.863,136.161,234.045,80.167,292.218,173.884,134.003,256.769,95.812,84.187,0,182.441,249.437,212.85,309.348,122.034,348.63,401.741,378.866,78.118,133.841,245.51,156.459,341.512,73.086,249.383,384.252,233.509,345.656,282.545,317.018,190.019,255.699,191.056,15.753,158.417,120.179,187.693,130.642,241.87,222.672,128.252,158.214,203.223,400.986,88.178,40.156,323.036,106.773,346.511,344.761,77.438,288.454,271.326,150.838,402.123,57.247,167.742,278.325,149.772,194.792,295.822,403.052,117.292,263.035,307.325,255.713,122.034,157.522,128.114,265.324,144.959,227.515,163.881,96.285,151.435,103.98,259.377,117.514,167.149,115.604,172.073,157.162,165.634,275.791,319.603,176.625,252.54,319.101,216.023,254.235,380.683,265.317,75.637,199.511
"Cedar",204.991,27.908,331.669,74.457,255.665,202.79,51.603,181.471,207.592,273.995,69.354,222.005,274.012,262.318,182.112,0,297.245,396.951,246.915,123.374,242.974,312.278,273.21,122.885,85.049,65.05,159.861,239.937,112.829,430.546,278.596,414.672,240.466,260.656,136.558,7.577,213.809,150.551,211.731,46.582,276.169,191.173,320.134,425.971,126.183,285.82,332.269,97.075,295.33,266.309,222.698,479.026,147.172,166.051,146.802,108.255,182.798,165.67,97.202,558.113,154.066,14.698,172.669,229.087,350.782,293.534,312.247,64.285,447.136,146.364,439.814,123.374,260.262,75.86,313.132,326.122,45.073,319.871,101.814,191.985,283.569,153.721,273.504,362.698,144.216,101.263,130.18,158.376,95.331,124.686,70.477,80.711,213.445,52.099,302.043,295.529,421.307,167.684,83.714
"Cerro Gordo",283.461,296.765,174.444,332.153,292.174,348.798,347.141,174.099,103.721,408.344,251.065,85.6,213.773,254.946,249.345,299.503,0,236.886,71.691,271.444,284.675,200.813,357.853,242.316,255.043,362.572,305.869,221.482,195.215,183.149,282.421,167.722,147.772,44.888,379.821,307.081,64.342,126.592,262.175,279.619,354.639,75.664,316.912,318.768,332.108,127.76,267.028,232.802,323.18,221.098,215.326,302.064,293.604,409.314,368.408,193.564,247.008,216.789,273.252,376.214,241.984,284.804,223.644,375.519,429.252,46.713,177.723,234.354,250.591,331.313,220.095,271.444,391.982,245.176,17.784,163.971,344.577,398.341,196.824,337.993,227.639,283.365,351.974,342.383,157.291,230.998,142.4,120.255,392.853,343.25,233.136,316.967,264.56,282.217,51.764,144.321,336.812,172.238,316.599
"Cherokee",208.542,394.97,397.805,430.358,158.462,317.915,449.312,216.892,268.954,282.912,349.27,243.638,131.041,129.996,212.713,397.708,236.436,0,296.347,329.332,444.815,441.851,517.993,300.204,353.248,460.777,363.757,381.622,293.42,112.199,442.561,137.653,385.766,269.544,539.961,405.286,242.698,273.82,200.831,377.824,163.487,227.803,118.57,37.255,430.313,111.488,50.67,383.951,483.32,138.366,175.485,76.108,307.285,569.454,528.548,291.769,407.148,376.929,371.457,137.652,263.737,383.009,383.784,292.664,230.649,282.821,443.162,332.559,105.182,491.453,44.174,329.332,266.55,343.381,252.323,73.539,442.782,219.152,295.029,328.72,108.733,443.505,155.541,114.106,255.496,329.203,285.926,254.391,491.058,503.39,391.892,477.107,424.7,431.29,215.919,367.682,99.441,229.93,414.804
"Chickasaw",343.462,220.197,105.451,306.097,352.175,408.799,289.938,234.1,37.037,468.345,211.09,46.292,273.774,314.947,309.346,246.853,71.128,296.887,0,331.445,227.472,130.677,300.65,302.317,315.044,299.156,365.87,164.279,255.216,255.191,225.218,239.764,77.636,27.857,322.618,247.314,42.849,114.249,322.176,265.737,414.64,127.503,376.913,378.769,392.109,187.761,327.029,175.599,265.977,281.099,275.327,371.512,353.605,352.111,311.205,253.565,189.805,159.586,333.253,448.171,301.985,230.621,166.441,435.52,489.253,62.288,107.587,231.774,322.548,274.11,289.449,331.445,451.983,229.288,73.981,223.972,296.351,458.342,220.072,397.994,287.64,226.162,411.975,402.384,217.292,144.055,155.013,151.396,348.124,286.047,175.933,259.764,207.357,225.014,123.806,75.328,396.813,232.239,376.6
"Clarke",140.042,129.893,435.117,105.894,190.716,80.38,167.391,123.707,313.727,151.585,151.492,278.278,211.125,199.431,122.931,123.396,270.946,330.799,330.857,0,366.119,423.25,396.355,46.952,60.569,146.141,37.451,363.021,77.058,364.394,401.741,348.52,367.165,304.054,224.502,130.974,277.208,208.545,146.782,91.278,211.22,209.202,255.185,359.819,90.353,219.663,297.047,220.712,418.475,203.422,155.03,414.077,24.762,253.995,234.746,81.41,305.943,288.815,26.171,493.164,79.45,116.684,295.814,106.677,176.38,317.331,424.561,123.913,380.984,324.814,373.662,0,137.852,128.623,286.833,259.97,160.861,205.29,113.774,69.575,218.854,276.866,208.555,297.749,137.403,189.562,174.651,183.123,183.275,251.43,194.114,201.701,336.59,167.963,275.744,402.192,356.358,108.503,74.844
"Clay",377.386,235.228,156.465,317.056,428.06,442.723,208.814,272.324,186.65,502.269,230.075,201.857,369.491,353.171,347.559,242.4,283.779,445.466,226.767,365.369,0,99.59,95.631,336.241,301.865,301.827,399.794,65.276,289.078,479.061,64.763,463.187,143.032,240.508,241.494,242.861,226.092,194.251,360.754,276.696,448.564,234.074,424.698,474.486,370.594,334.335,422.746,141.22,43.522,376.816,313.551,525.126,387.529,270.987,169.007,287.427,67.947,79.358,332.745,618.015,335.909,241.579,69.934,469.444,523.177,273.386,125.338,255.227,495.651,108.934,488.329,365.369,485.907,246.594,286.632,374.637,215.227,492.266,261.485,431.918,383.357,115.544,445.899,498.101,235.141,159.983,202.274,231.398,267,146.327,180.457,178.64,27.052,186.392,336.457,173.61,492.53,270.463,326.313
"Clayton",435.374,304.456,60.507,386.284,443.771,500.711,278.042,326.012,133.081,560.257,299.303,155.577,365.37,406.859,401.258,311.628,199.972,441.345,130.665,423.357,99.59,0,197.536,394.229,355.521,371.055,457.782,73.724,347.128,408.802,78.731,384.069,75.611,156.701,310.722,312.089,156.448,190.13,414.088,345.924,506.552,229.953,468.509,470.365,439.822,330.214,418.625,210.448,138.588,372.695,367.239,521.005,445.517,340.215,258.557,345.477,138.198,150.523,390.131,542.028,393.897,310.807,139.162,527.432,581.165,187.972,36.671,324.455,416.405,198.484,418.293,423.357,543.895,315.822,202.825,370.516,284.455,550.254,295.953,489.906,379.236,179.225,503.887,493.98,288.598,215.184,230.894,227.277,336.228,235.877,249.685,247.868,105.856,255.62,252.65,85.97,488.409,324.151,395.541
"Clinton",408.093,265.935,253.068,347.763,458.767,473.43,219.472,317.951,259.179,532.976,260.782,274.386,410.492,398.798,378.266,273.107,356.308,517.995,299.296,396.076,94.781,196.193,0,366.948,332.572,304.302,430.501,161.419,319.785,551.59,115.555,535.716,239.175,313.037,243.969,273.568,298.621,266.78,391.461,307.403,479.271,306.603,523.236,547.015,401.301,406.864,495.275,193.494,58.03,402.789,359.178,597.655,418.236,250.586,173.002,318.134,118.462,141.666,363.452,690.544,366.616,272.286,133.496,500.151,553.884,345.915,221.941,285.934,568.18,112.929,560.858,396.076,516.614,277.301,359.161,447.166,225.885,522.973,292.192,462.625,420.049,140.689,476.606,565.8,280.768,205.61,247.901,276.083,269.475,150.322,211.164,180.662,114.563,217.099,408.986,270.213,565.059,316.09,357.02
