"","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"Palo Alto",140.486,53.089,335.768,115.181,191.16,206.709,127.848,121.162,190.036,277.914,15.881,169.207,213.703,202.009,121.803,76.244,236.936,336.642,227.276,129.355,247.073,316.377,277.309,100.227,58.953,139.313,163.78,244.036,52.52,370.237,282.695,354.363,245.057,270.044,210.821,83.822,176.46,113.202,134.998,62.647,211.664,131.106,255.629,365.662,127.682,225.511,271.96,101.666,299.429,206,162.389,414.521,151.515,240.314,221.065,47.946,186.897,169.769,89.833,493.608,99.009,61.545,176.768,233.43,286.277,283.321,316.346,12.315,386.827,205.768,379.505,129.355,249.007,0,252.823,265.813,121.318,255.366,41.747,195.904,223.26,157.82,208.999,298.193,84.149,80.954,75.71,91.893,169.594,218.046,75.068,146.343,217.544,89.469,241.734,277.973,356.802,107.375,112.173
"Plymouth",299.287,312.591,156.815,347.979,308,364.624,349.937,189.925,106.517,424.17,266.891,88.396,229.599,270.772,265.171,315.329,17.756,252.712,74.487,287.27,287.471,203.609,360.649,258.142,270.869,378.398,321.695,224.278,211.041,179.264,285.217,163.837,150.568,47.684,382.617,322.907,67.138,129.388,278.001,295.445,370.465,91.497,332.738,334.594,347.934,143.586,282.854,235.598,325.976,236.924,231.152,388.936,309.43,412.11,371.204,209.39,249.804,219.585,289.078,372.329,257.81,300.63,226.44,391.345,445.078,29.084,180.519,250.18,246.706,334.109,236.373,287.27,407.808,261.002,0,179.797,356.35,414.167,212.65,353.819,243.465,286.161,367.8,358.209,173.117,204.054,158.233,136.088,408.123,346.046,235.932,319.763,267.356,285.013,47.879,126.692,352.638,188.064,332.425
"Pocahontas",155.908,324.309,324.89,359.697,138.761,253.85,378.651,146.231,196.039,272.394,278.609,170.723,60.36,95.634,144.96,327.047,163.521,73.539,223.432,258.671,374.154,371.19,447.332,229.543,282.587,390.116,293.096,310.961,222.759,106.041,371.9,90.167,252.85,196.629,469.3,334.625,169.783,203.159,133.443,307.163,208.437,157.142,163.52,110.794,359.652,38.573,113.636,313.29,412.659,67.685,104.804,148.164,248.959,498.793,457.887,221.108,336.487,306.268,300.796,209.708,199.433,312.348,313.123,257.916,275.599,209.906,329.464,261.898,115.584,420.792,116.223,258.671,256.032,272.72,179.408,0,372.121,244.688,224.368,265.748,74.226,372.844,200.491,188.991,184.835,258.542,215.265,183.73,420.397,432.729,321.231,406.446,354.039,360.629,143.004,294.767,183.42,159.269,344.143
"Polk",250.065,72.982,303.97,112.109,300.739,240.463,6.529,226.545,227.232,311.668,114.428,241.645,319.086,307.392,227.186,45.073,342.319,442.025,266.555,161.047,215.275,284.579,226.6,167.959,130.123,67,197.534,212.238,157.903,475.62,250.897,459.746,244.353,280.296,107.092,37.496,265.88,193.06,256.805,93.132,321.243,236.247,365.208,471.045,163.835,330.894,377.343,94.519,248.72,311.383,267.772,524.1,184.845,136.585,102.195,153.329,155.099,137.971,134.875,603.187,199.14,59.772,144.97,266.76,336.463,313.174,284.548,109.359,492.21,110.875,484.888,161.047,297.935,120.934,358.206,371.196,0,364.945,146.888,229.658,328.643,108.79,318.578,407.772,189.29,135.773,182.91,211.106,57.193,89.197,90.117,45.222,185.746,47.433,347.117,301.559,466.381,212.758,121.366
"Pottawattamie",122.007,330.377,568.302,348.165,122.218,180.559,375.763,244.968,446.912,142.325,284.677,411.463,205.394,166.985,169.374,324.159,404.131,200.624,464.042,206.242,499.304,556.435,529.54,209.43,271.055,387.239,226.235,496.206,209.948,330.602,534.926,355.031,500.35,437.239,458.747,331.737,410.393,341.73,153.62,295.631,56.431,342.387,80.534,202.381,292.448,283.968,155.598,353.897,551.66,194.028,202.72,197.888,181.756,488.24,468.991,214.3,439.128,422,231.449,276.975,177.202,309.46,428.999,155.308,34.462,450.516,557.746,255.856,323.752,457.999,256.927,206.242,122.67,260.566,420.018,249.904,369.233,0,246.959,191.364,186.726,410.051,55.781,81.56,270.588,322.747,307.836,316.308,417.52,470.277,327.299,394.258,469.775,366.697,408.929,535.377,140.169,241.688,280.122
"Poweshiek",125.993,93.979,308.03,143.944,176.667,191.33,153.585,79.95,186.64,250.876,48.279,161.789,172.491,160.797,96.166,101.981,195.724,295.43,219.858,113.976,262.906,296.163,293.142,84.848,66.834,165.05,148.401,235.934,37.685,329.025,298.528,313.151,240.078,228.832,270.45,109.559,169.042,105.784,109.361,91.41,197.171,98.531,241.136,324.45,143.899,184.299,239.144,117.499,315.262,164.788,121.177,400.028,136.136,299.943,259.037,36.034,202.73,166.576,106.47,479.115,84.516,87.282,173.568,218.051,271.784,242.109,297.474,36.832,345.615,221.601,338.293,113.976,234.514,42.39,211.611,224.601,147.055,240.873,0,180.525,182.048,173.653,194.506,283.7,51.574,86.801,71.89,80.362,195.331,233.879,90.901,207.596,233.377,130.299,200.522,280.938,342.309,67.162,128.39
"Ringgold",125.603,200.853,501.998,116.624,173.116,10.804,235.946,190.588,380.608,82.009,218.373,345.159,211.784,204.635,151.457,191.951,337.827,328.813,397.738,69.519,433,490.131,463.236,113.833,131.529,157.879,34.87,429.902,143.939,370.198,468.622,354.324,434.046,370.935,245.65,199.529,344.089,275.426,132.33,162.238,170.797,276.083,237.585,397.375,101.083,254.076,279.447,287.593,485.356,208.626,165.561,392.882,50.167,268.336,303.301,148.291,372.824,355.696,94.726,471.969,106.265,187.644,362.695,51.6,161.489,384.212,491.442,190.794,389.059,391.695,372.988,69.519,76.93,195.504,353.714,265.774,229.416,190.399,180.655,0,224.428,343.747,190.955,276.554,204.284,256.443,241.532,250.004,207.095,319.985,260.995,270.256,403.471,238.923,342.625,469.073,335.163,175.384,105.715
"Sac",102.287,282.168,384.404,307.035,64.545,226.747,336.51,106.973,263.014,198.178,236.468,227.883,18.668,21.263,103.98,284.906,220.551,108.87,280.462,218.118,375.501,372.537,420.227,188.99,229.925,347.975,252.543,312.308,169.17,155.742,373.247,162.783,316.452,253.659,419.483,292.484,226.813,204.506,92.098,254.501,137.635,158.489,89.633,137.89,318.756,101.366,57.096,270.865,414.006,25.993,65.144,188.53,199.655,448.976,447.226,178.967,337.834,307.615,246.922,281.419,156.264,270.207,314.47,201.496,212.248,266.936,373.848,219.757,159.055,409.79,151.733,218.118,181.816,230.579,236.438,74.233,329.98,181.337,182.227,224.403,0,361.842,134.97,125.903,142.41,216.117,201.26,157.439,378.256,422.068,279.09,355.005,355.386,318.488,213.364,351.797,155.934,117.346,295.595
"Scott",282.624,140.466,226.386,234.128,333.298,347.961,102.336,252.156,177.9,407.507,135.313,193.107,344.697,333.003,252.797,147.638,275.029,436.716,218.017,270.607,105.38,176.389,140.8,241.479,207.103,189.019,305.032,134.654,194.316,470.311,141.002,454.437,166.769,231.758,128.686,136.661,217.342,185.501,265.992,181.934,353.802,225.324,397.767,465.736,275.832,325.585,413.996,68.025,162.92,336.994,293.383,516.376,292.767,158.179,93.805,192.665,47.486,60.387,237.983,635.746,241.147,146.817,67.386,374.682,428.415,264.636,206.964,160.465,486.901,48.636,479.579,270.607,391.145,151.832,277.882,365.887,108.749,397.504,166.723,337.156,354.254,0,351.137,440.331,199.716,130.844,166.849,195.031,154.192,71.125,85.695,65.832,75.851,80.586,327.707,223.975,498.94,238.369,243.385
"Shelby",70.671,279.041,516.966,296.829,70.882,180.044,324.427,193.632,395.576,145.041,233.341,360.127,154.058,115.649,118.038,272.823,352.795,155.573,412.706,207.912,447.968,505.099,478.204,158.094,219.719,335.903,242.337,444.87,158.612,240.406,483.59,265.86,449.014,385.903,407.411,280.401,359.057,290.394,102.284,244.295,25.658,291.051,50.538,213.922,308.55,234.577,106.207,302.561,500.324,142.692,151.384,209.429,169.414,436.904,417.655,162.964,387.792,370.664,236.716,288.516,125.866,258.124,377.663,154.793,81.185,399.18,506.41,204.52,243.719,406.663,199.748,207.912,128.679,209.23,368.682,200.513,317.897,50.274,195.623,190.849,135.39,358.715,0,93.101,219.252,271.411,256.5,264.972,366.184,418.941,275.963,342.922,418.439,315.361,357.593,484.041,151.71,190.352,285.389
"Sioux",161.221,369.591,506.273,387.379,107.333,267.102,414.977,193.494,384.883,228.868,323.891,349.752,144.563,107.784,167.145,363.373,342.42,114.135,402.331,298.462,497.37,494.406,568.754,248.644,310.269,426.453,332.887,434.177,249.162,262.584,495.116,287.013,438.321,375.528,497.961,370.951,348.682,326.375,151.478,334.845,116.208,280.358,36.609,134.363,399.1,223.276,74.749,393.111,535.875,133.212,151.665,129.87,259.964,527.454,508.205,253.514,478.342,382.413,327.266,208.957,216.416,348.674,389.405,241.851,121.005,388.805,495.717,295.07,255.734,497.213,188.909,298.462,209.213,299.78,358.307,189.212,408.447,82.042,286.173,277.907,125.895,449.265,94.995,0,228.931,302.638,287.781,306.946,456.734,509.491,366.513,433.472,508.989,405.911,335.233,473.666,72.151,203.867,375.939
"Story",149.912,135.7,300.656,198.604,169.72,215.249,195.306,40.231,179.266,274.795,90,163.033,132.772,121.078,115.477,143.702,155.701,255.407,215.612,137.895,234.956,288.789,280.963,108.767,121.494,206.771,172.32,228.56,61.666,289.002,270.578,273.128,232.704,188.809,302.569,151.28,161.963,95.89,128.307,146.07,221.09,74.73,192.605,284.427,198.559,144.276,199.425,131.601,271.754,125.069,81.458,335.067,160.055,332.062,291.156,60.015,181.668,156.628,139.703,427.956,108.435,129.003,163.62,241.97,295.703,202.086,290.1,78.553,305.592,254.061,298.27,137.895,258.433,84.111,171.588,184.578,188.776,264.792,50.644,204.444,142.329,206.113,218.425,228.875,0,76.853,61.996,59.88,237.052,265.998,132.622,239.715,205.427,172.02,160.499,286.947,302.471,38.37,183.05
"Tama",200.931,76.141,224.11,162.041,251.605,266.268,141.813,114.265,109.081,325.814,71.039,118.81,206.806,195.112,171.104,101.264,200.732,329.441,143.72,188.914,160.614,215.346,206.621,159.786,142.829,167.946,223.339,155.117,112.623,363.036,196.236,347.162,159.261,157.461,228.227,108.842,120.544,57.286,184.299,121.681,272.109,124.531,266.639,358.461,211.558,218.31,273.459,57.259,197.412,199.103,155.492,409.101,211.074,257.72,216.814,110.972,107.326,82.286,181.408,501.99,159.454,86.565,89.278,292.989,346.722,190.339,216.657,96.191,379.626,179.719,372.304,188.914,309.452,87.558,203.585,258.612,135.283,315.811,87.23,255.463,216.363,131.771,269.444,302.909,77.082,0,44.215,72.397,188.709,191.656,47.694,165.373,131.085,93.804,234.533,197.018,376.505,112.404,171.298
"Taylor",185.612,105.01,242.974,182.863,236.286,250.949,189.339,98.975,121.584,310.495,59.313,96.733,191.516,179.822,155.785,130.133,142.363,286.252,154.802,173.595,202.211,231.107,248.218,144.467,131.479,194.842,208.02,170.878,97.304,319.847,231.817,303.973,175.022,137.61,269.824,137.711,103.986,40.728,168.98,130.329,256.79,74.86,251.349,315.272,195.364,175.121,263.532,98.856,239.009,183.813,140.202,365.912,195.755,299.317,258.411,95.653,148.923,123.883,166.089,458.801,144.135,115.434,130.875,277.67,331.403,155.406,232.418,79.997,336.437,221.316,329.115,173.595,294.133,77.511,158.31,215.423,182.809,300.492,71.911,240.144,201.073,173.368,254.125,287.619,61.792,44.108,0,29.278,225.123,233.253,91.803,206.97,172.682,141.33,191.655,215.882,333.316,97.114,179.855
"Union",194.066,133.671,238.994,197.274,244.74,259.403,218,97.144,117.604,318.949,87.974,92.753,143.583,177.991,164.239,158.794,118.532,254.677,150.822,182.049,230.091,227.127,276.874,152.921,139.933,221.406,216.474,166.898,105.758,288.272,227.837,272.398,171.042,133.63,298.48,166.372,100.006,36.748,177.434,144.74,265.244,43.285,249.518,283.697,209.775,143.546,231.957,127.512,268.596,150.908,138.371,334.337,204.209,327.973,287.067,104.107,177.579,152.539,174.543,427.226,152.589,144.095,159.531,286.124,339.857,151.426,228.438,94.408,304.862,249.972,297.54,182.049,302.587,91.922,134.479,183.848,211.47,308.946,80.365,248.598,157.449,202.024,262.579,307.312,59.961,72.764,29.26,0,251.687,261.909,120.459,235.626,201.338,169.991,160.08,211.902,301.741,95.283,194.266
"Van Buren",294.445,122.926,355.623,90.443,345.119,217.874,50.714,275.121,307.137,289.079,166.934,322.344,367.662,355.968,275.762,95.255,390.895,490.601,347.254,183.641,266.928,336.232,270.057,216.548,178.712,51.637,172.198,263.891,206.479,524.196,302.55,508.322,296.006,360.995,51.665,87.678,346.579,245.569,288.957,124.43,365.623,284.823,409.588,519.621,142.627,379.47,425.919,138.119,292.177,359.959,316.348,568.48,207.439,74.351,105.762,201.905,206.752,189.624,157.469,647.567,247.729,109.717,196.623,258.67,359.057,393.873,336.201,157.935,540.786,154.332,533.464,183.641,284,169.51,406.782,419.772,57.981,409.325,195.464,207.069,377.219,154.044,362.958,452.152,237.866,189.2,225.198,251.574,0,122.446,143.544,77.653,237.399,105.414,395.693,353.212,510.761,261.334,125.979
"Wapello",349.808,146.452,293.229,201.235,400.482,329.589,82.779,319.34,244.743,400.794,202.497,259.95,411.881,400.187,319.981,124.681,341.872,503.559,284.86,250.173,146.297,236.025,150.843,308.663,208.276,156.126,286.66,201.497,261.5,537.154,201.668,521.28,233.612,298.601,91.974,117.104,284.185,252.344,333.176,190.962,420.986,292.167,464.951,532.579,252.961,392.428,480.839,135.209,172.963,404.178,360.567,583.219,273.971,104.336,23.802,259.849,144.358,127.23,224.001,702.93,308.331,137.925,134.229,355.886,495.599,331.479,273.807,187.512,553.744,35.118,546.422,250.173,387.061,219.016,344.725,432.73,89.192,464.688,233.907,318.784,421.438,71.125,418.321,507.515,266.559,198.028,233.692,261.874,121.299,0,152.879,53.53,127.752,109.843,394.55,290.818,566.124,305.553,210.492
"Warren",205.984,60.778,244.066,145.133,256.658,271.321,96.647,175.516,136.657,330.867,58.673,151.07,268.057,256.363,176.157,70.477,232.992,390.996,175.98,193.967,181.751,251.055,211.987,164.839,130.463,122.78,228.392,178.714,117.676,424.591,217.373,408.717,169.531,189.721,189.295,70.938,175.305,104.981,189.352,104.773,277.162,179.442,321.127,420.016,199.192,279.865,326.314,26.14,234.107,260.354,216.743,480.019,216.127,218.788,177.882,116.025,121.575,104.447,161.343,559.106,164.507,69.656,111.446,298.042,351.775,222.599,226.992,83.825,441.181,140.446,433.859,193.967,314.505,75.192,235.845,320.167,90.117,320.864,90.083,260.516,277.614,92.498,274.497,363.691,132.485,47.694,91.91,120.092,143.543,152.724,0,126.441,152.222,48.638,296.088,224.594,422.3,161.729,154.39
"Washington",275.121,93.355,267.419,152.755,325.795,281.109,38.809,251.601,218.933,352.314,176.687,234.14,344.142,332.448,252.242,80.711,316.062,477.749,259.05,201.693,178.724,248.028,181.377,193.015,155.179,119.989,238.18,175.687,182.959,511.344,214.346,495.47,207.802,272.791,90.327,73.134,258.375,226.534,281.861,119.945,346.299,266.357,390.264,506.769,204.481,366.618,455.029,109.399,203.497,336.439,292.828,557.409,225.491,119.82,76.001,178.385,118.548,101.42,175.521,628.243,224.196,84.828,108.419,307.406,420.912,305.669,247.997,134.415,527.934,65.652,520.612,201.693,338.581,145.99,318.915,406.92,45.222,390.001,208.097,270.304,353.699,65.84,343.634,432.828,240.749,172.218,207.882,236.064,83.045,53.321,104.046,0,149.195,56.746,368.74,265.008,491.437,237.814,162.012
"Wayne",347.559,205.401,162.992,287.229,398.233,412.896,178.987,242.497,165.995,472.442,200.248,181.202,348.836,323.344,317.732,212.573,263.124,424.811,206.112,335.542,27.052,106.117,115.297,306.414,272.038,272,369.967,47.572,259.251,458.406,70.73,442.532,125.403,219.853,211.667,213.034,205.437,173.596,330.927,246.869,418.737,213.419,394.871,453.831,340.767,313.68,402.091,111.393,73.279,356.161,283.724,504.471,357.702,241.16,150.452,257.6,38.12,49.531,302.918,597.36,306.082,211.752,40.107,439.617,493.35,252.731,131.865,225.4,474.996,90.379,467.674,335.542,456.08,216.767,265.977,353.982,185.4,462.439,231.658,402.091,362.702,79.147,416.072,505.266,205.314,130.156,172.447,210.743,237.173,127.772,150.63,148.813,0,156.565,315.802,182.609,471.875,240.636,296.486
"Webster",246.074,46.342,275.762,126.736,296.748,250.128,53.944,215.606,185.753,321.333,98.763,200.166,308.147,296.453,216.247,52.08,282.088,431.086,225.076,168.206,187.067,256.371,217.303,159.446,121.61,100.283,207.199,184.03,157.766,464.681,222.689,448.807,216.145,238.817,146.224,53.428,224.401,151.581,229.442,86.376,317.252,219.532,361.217,460.106,178.462,319.955,366.404,47.086,239.423,300.444,256.833,520.109,192.968,175.717,134.811,156.115,126.891,109.763,144.547,599.196,204.597,51.259,116.762,274.883,391.865,271.695,256.34,100.846,481.271,99.571,473.949,168.206,354.595,89.48,284.941,360.257,47.414,360.954,130.173,239.323,317.704,80.59,314.587,403.781,172.575,94.294,141.431,169.627,104.607,109.653,48.638,56.715,157.538,0,336.178,273.351,462.39,201.819,135.993
"Winnebago",287.284,300.588,196.384,335.976,284.828,352.621,354.93,160.629,156.472,412.167,254.888,138.351,206.427,241.701,253.168,303.326,51.591,215.889,124.442,275.267,337.426,253.564,410.604,246.139,258.866,366.395,309.692,274.233,199.038,134.045,335.172,118.618,200.523,97.639,432.572,310.904,117.093,179.735,251.888,283.442,358.462,123.178,309.566,253.144,335.931,106.763,259.682,285.553,375.931,213.752,202.788,283.197,297.427,462.065,421.159,197.387,299.759,269.54,277.075,271.436,245.807,288.627,276.395,379.342,433.075,68.653,230.474,238.177,143.588,384.064,201.228,275.267,395.805,248.999,47.879,142.974,348.4,402.164,200.647,341.816,220.293,336.116,355.797,335.037,161.114,234.821,191.841,160.306,396.676,396.001,297.51,369.718,317.311,336.908,0,166.261,329.466,176.061,320.422
"Winneshiek",414.86,273.309,31.893,359.209,423.573,480.197,294.933,305.498,97.448,539.743,268.207,122.091,345.172,386.345,380.744,287.111,142.526,368.285,75.391,402.843,173.569,85.97,271.515,373.715,340.896,339.414,437.268,136.76,326.614,324.602,152.71,299.869,57.827,108.285,327.613,287.572,118.648,175.505,393.574,318.849,486.038,215.328,448.311,450.167,404.591,259.159,398.427,215.857,212.567,352.497,346.725,474.435,425.003,357.106,316.2,324.963,194.991,164.581,404.651,457.828,373.383,283.733,178.604,506.918,560.651,103.772,49.232,289.224,332.205,279.105,404.933,402.843,523.381,284.726,126.707,295.37,301.346,529.74,281.328,469.392,359.038,231.157,483.373,473.782,288.69,197.167,216.269,212.652,353.119,291.042,216.191,264.759,184.232,272.511,166.276,0,468.211,303.637,368.466
"Woodbury",219.667,428.037,499.099,445.825,219.878,325.548,473.423,262.273,377.709,287.314,382.337,342.578,176.422,155.659,267.034,421.819,335.246,97.808,395.157,356.908,490.196,487.232,563.374,307.09,368.715,484.899,391.333,427.003,307.608,190.842,487.942,215.271,431.147,368.354,556.407,429.397,341.508,319.201,251.28,393.291,174.654,273.184,100.149,62.621,457.546,216.102,96.051,451.557,528.701,183.747,220.866,58.128,318.41,585.9,566.651,311.96,452.529,422.31,385.712,137.215,274.862,407.12,429.165,300.297,179.451,381.631,488.543,353.516,183.992,555.659,117.167,356.908,267.659,358.226,351.133,182.038,466.893,140.488,344.619,336.353,154.114,507.711,153.441,72.768,300.877,374.584,331.307,299.772,515.18,567.937,424.959,491.918,470.081,464.357,328.059,466.492,0,275.311,434.385
"Worth",119.961,165.613,336.417,196.861,131.356,185.298,219.955,15.585,215.027,244.844,119.913,179.578,108.126,96.432,75.619,168.351,172.246,230.258,232.157,107.944,270.223,324.55,316.23,78.816,119.751,231.42,142.369,264.321,58.996,263.853,325.26,247.979,268.465,205.354,302.928,175.929,178.508,131.157,88.01,144.327,191.139,110.502,167.959,259.278,208.582,119.127,174.779,166.868,307.021,100.423,56.812,309.918,130.104,332.421,330.671,63.967,216.935,191.895,136.748,402.807,78.484,153.652,198.887,212.019,265.752,218.631,325.861,103.202,280.443,293.235,273.121,107.944,228.482,114.024,188.133,159.429,213.425,234.841,67.161,174.493,117.683,245.287,188.474,204.229,38.413,112.12,97.263,95.147,261.701,305.513,162.535,238.45,240.694,201.933,177.044,303.492,277.322,0,185.421
"Wright",217.417,98.651,416.291,35.535,268.091,116.521,127.69,197.982,281.088,187.726,128.039,321.088,290.523,278.829,200.306,83.714,313.756,413.462,373.667,74.952,327.596,396.9,357.832,124.327,65.274,76.79,70.845,324.559,120.17,447.057,363.218,431.183,325.088,346.864,164.561,91.292,320.018,226.912,224.157,63.843,288.595,252.012,332.56,442.482,41.274,302.331,374.422,181.697,379.952,282.82,232.405,491.452,98.75,187.247,195.045,122.05,267.42,250.292,48.78,570.539,156.825,85.442,257.291,157.317,250.368,360.141,396.869,100.596,463.647,243.615,456.325,74.952,182.647,112.171,329.643,342.633,121.16,279.278,128.394,105.716,296.229,243.327,285.93,375.124,180.213,172.006,179.82,201.49,126.006,211.729,155.099,162,298.067,136.721,318.554,369.025,433.733,185.878,0
