"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Alcona",0,128.021,453.56,41.849,292.431,113.523,577.741,415.657,206.559,278.074,532.073,324.459,403.701,517.208,222.207,168.251,288.217,241.462,368.884,276.857,337.878,512.978,366.388,412.409,256.094,237.483,166.416,650.614,225.998,252.524,433.059,620.583,368.56,333.609,379.557,324.891,548.368,256.255,384.452,448.394,186.139,389.604,591.975,549.746,281.38,273.505,393.208,158.048,221.245,-1,341.496,321.431,461.553,346.188,297.018,515.714,256.094,198.275,215.496,398.663,346.096,119.201,412.939,355.938,316.745,372.698,130.813,644.089,280.283,41.121,449.895,405.672,76.478,144.576,195.202,304.182,467.346,282.084,370.017,518.636,220.68,356.895,327.556,354.796,249.057
"Alger",129.049,0,366.792,159.955,187.568,29.687,606.138,310.794,182.832,190.828,427.21,212.389,298.838,412.345,198.48,215.379,150.682,103.927,264.021,142.875,233.015,541.375,261.525,307.546,198.544,132.62,60.543,679.011,168.448,147.661,328.196,648.98,263.697,228.746,274.694,220.028,576.765,118.72,279.589,343.531,128.589,270.455,620.372,444.883,176.517,215.955,288.345,136.341,116.382,-1,236.633,208.767,489.95,241.325,159.483,544.111,198.544,93.412,102.832,293.8,208.561,132.447,293.79,236.789,211.882,253.549,26.828,672.486,142.748,88.209,363.127,300.809,186.424,66.654,90.339,199.319,362.483,177.221,265.154,421.367,115.817,252.032,222.693,249.933,156.465
"Allegan",453.205,366.796,0,448.035,191.957,361.745,641.276,50.702,355.941,288.368,95.479,201.323,111.249,80.614,353.388,436.614,174.936,222.997,218.836,191.44,148.858,507.474,143.661,99.706,309.179,248.564,274.412,650.529,289.298,182.45,179.151,684.118,254.429,191.142,116.201,209.69,549.073,208.953,159.142,48.957,279.985,65.368,655.51,113.197,262.321,337.197,220.475,357.576,247.618,-1,320.161,221.01,711.185,178.933,165.796,436.785,309.179,237.355,237.233,284.532,120.918,401.327,93.779,121.999,295.41,150.728,318.331,696.267,199.879,431.202,16.601,287.424,495.018,306.596,260.685,372.158,63.695,195.885,350.958,86.605,273.674,238.266,211.353,246.979,254.597
"Alpena",41.849,160.045,456.3,0,341.532,162.624,535.891,465.888,167.138,254.048,534.88,327.199,453.932,538.786,182.786,126.401,290.957,244.202,417.985,279.597,387.896,471.128,416.619,462.64,235.254,286.584,202.244,608.764,205.158,310.521,483.077,578.733,417.661,382.71,363.052,373.992,506.518,258.995,435.356,473.921,168.72,392.344,550.125,547.968,330.481,252.665,442.309,118.627,270.346,-1,390.597,294.817,419.703,396.206,299.758,473.864,235.254,247.376,218.236,447.764,348.836,79.78,415.679,358.678,365.846,375.438,158.013,602.239,283.023,78.102,452.635,454.773,34.628,150.107,244.303,353.283,488.659,331.185,419.118,521.376,269.781,405.996,376.657,403.897,234.673
"Antrim",291.894,186.648,193.64,342.131,0,181.597,777.902,137.642,354.596,313.613,254.058,302.278,125.686,239.193,370.244,387.143,198.607,161.983,108.338,134.379,59.863,713.139,88.373,134.394,334.424,68.416,199.017,850.775,314.649,98.469,155.044,820.744,127.221,50.968,101.542,42.121,748.529,149.217,107.323,170.379,300.353,144.681,792.136,271.731,82.173,362.548,125.761,308.105,67.47,-1,140.013,335.2,661.714,68.173,177.806,550.975,334.424,144.688,254.373,157.324,151.487,314.623,207.969,199.922,115.262,264.918,206.971,844.25,215.744,251.054,189.975,176.024,368.6,246.797,80.537,192.01,189.331,9.048,170.81,248.215,93.526,115.487,86.148,113.457,279.842
"Arenac",113.523,29.687,361.358,162.534,182.134,0,640.179,305.36,216.873,217.661,421.776,207.965,293.404,406.911,232.521,249.42,146.258,99.503,258.587,137.441,227.581,575.416,256.091,302.112,232.585,127.186,56.119,713.052,202.489,142.227,322.762,683.021,258.263,223.312,269.26,214.594,610.806,114.296,274.155,338.097,162.63,266.031,654.413,439.449,171.083,249.996,282.911,170.382,110.948,-1,231.199,219.175,523.991,235.891,155.059,578.152,232.585,87.978,136.873,288.366,204.137,174.584,289.366,232.365,206.448,249.125,60.869,706.527,138.324,72.683,357.693,295.375,189.003,100.695,84.905,193.885,357.049,171.787,259.72,415.933,110.383,246.598,217.259,244.499,183.89
"Baraga",577.072,606.247,641.295,535.222,777.303,639.983,0,836.725,458.429,620.271,782.134,485.781,824.769,804.911,467.373,408.82,661.794,615.039,862.796,650.434,758.733,137.034,787.456,833.477,601.477,731.395,619.68,136.536,571.381,681.358,853.914,45.724,862.472,779.252,733.889,797.286,92.202,629.832,806.193,695.047,534.943,613.47,31.108,759.093,775.292,618.888,867.526,470.402,715.157,-1,835.408,505.468,116.72,767.043,670.595,252.841,601.477,665.823,589.073,892.575,719.673,483.232,553.568,576.91,810.657,494.471,584.075,66.347,653.86,628.66,673.761,899.584,506.248,542.468,689.114,798.094,709.785,775.996,863.929,781.12,714.592,850.807,821.468,848.708,600.896
"Barry",417.47,312.224,50.509,467.896,137.385,307.173,839.007,0,374.81,307.237,121.134,244.879,62.702,106.269,372.257,448.248,193.805,223.088,170.289,162.67,83.988,562.476,58.677,43.742,328.048,193.992,266.98,705.531,308.167,159.574,130.604,881.849,205.882,99.753,79.393,133.729,604.075,210.322,110.595,34.323,298.854,84.237,853.241,138.807,207.749,356.066,171.928,369.21,193.046,-1,248.342,276.012,722.819,87.544,184.665,491.787,328.048,214.67,256.102,235.985,107.827,421.188,148.781,140.868,240.838,205.73,332.547,751.269,218.748,376.63,30.674,238.877,506.652,318.23,206.113,317.586,56.407,141.313,285.46,115.291,219.102,189.719,162.806,198.432,273.466
"Bay",206.559,183.478,355.841,167.048,354.534,217.214,459.415,375.207,0,145.701,434.421,226.74,402,438.327,18.516,81.248,239.025,192.27,440.027,227.665,335.964,394.652,364.687,410.708,126.907,308.626,196.911,532.288,96.811,258.589,431.145,502.257,439.703,356.483,311.12,374.517,430.042,207.063,383.424,373.462,76.536,291.885,473.649,447.509,352.523,144.318,444.757,53.793,292.388,-1,412.639,202.633,343.227,344.274,235.263,397.388,126.907,243.054,124.234,469.806,271.653,106.474,315.22,258.219,387.888,274.979,161.306,525.763,182.15,246.229,352.176,476.815,150.975,119.699,266.345,375.325,388.2,353.227,441.16,420.917,291.823,428.038,398.699,425.939,142.489
"Benzie",278.124,192.38,288.395,253.953,314.612,218.229,621.33,307.761,145.688,0,366.975,100.367,368.308,370.881,127.185,230.571,149.803,146.816,403.196,187.743,296.042,423.805,324.765,356.765,52.647,290.357,162.546,566.86,51.112,218.667,391.223,664.172,421.434,316.561,250.704,334.595,465.404,167.141,343.502,306.016,95.6,224.439,635.564,380.063,334.254,82.766,404.835,151.559,274.119,-1,394.37,52.394,505.142,304.352,167.817,353.116,52.647,203.132,91.251,451.537,204.207,207.245,186.444,161.33,369.619,127.347,170.208,687.678,114.574,255.131,284.73,458.546,288.975,158.473,248.076,357.056,320.754,318.54,422.891,353.471,273.554,409.769,380.43,407.67,48.174
"Berrien",534.021,428.775,95.791,525.855,253.936,423.724,782.328,121.073,433.761,366.188,0,264.032,140.276,26.789,431.208,514.434,252.756,300.817,247.863,269.26,200.539,648.526,172.688,128.733,386.999,310.543,352.232,798.727,367.118,276.125,204.135,825.17,283.456,226.905,201.956,250.28,690.125,286.773,188.169,89.833,357.805,144.53,796.562,26.93,324.3,415.017,249.502,435.396,309.597,-1,347.429,283.719,789.005,219.523,243.616,577.837,386.999,331.221,315.053,313.559,198.738,479.147,156.488,199.819,357.389,213.437,396.151,856.151,277.699,493.181,108.31,300.387,572.838,384.416,322.664,434.137,92.932,257.864,384.547,29.178,335.653,267.293,240.38,276.006,332.417
"Branch",324.452,206.61,225.293,319.282,301.998,209.475,485.66,244.659,227.188,98.466,264.975,0,305.206,286.188,200.592,307.861,97.016,117.896,387.818,158.31,258.899,351.858,263.11,293.663,143.733,260.924,153.792,494.913,124.519,189.234,373.108,528.502,392.001,301.183,187.602,319.731,393.457,137.708,328.124,242.914,151.232,161.337,499.894,278.063,304.821,167.794,389.457,228.823,244.686,-1,364.937,46.773,582.432,288.974,104.715,281.169,143.733,173.699,108.48,422.104,141.105,272.574,114.497,84.216,340.186,55.4,189.578,540.651,79.259,278.932,221.628,429.113,366.265,177.843,218.643,327.623,257.652,305.926,393.458,251.471,244.121,380.336,350.997,378.237,85.642
"Calhoun",404.522,299.276,111.206,454.948,124.437,294.225,826.059,57.036,402.753,367.934,140.984,305.576,0,126.119,418.401,435.3,254.502,210.14,110.866,182.536,71.04,623.173,43.189,21.32,388.745,181.044,254.032,898.932,368.864,146.626,58.347,868.901,146.459,89.908,97.983,100.108,796.686,197.374,51.172,57.305,359.551,144.934,840.293,158.657,194.801,416.763,112.505,356.262,180.098,-1,210.432,336.709,709.871,81.403,180.469,552.484,388.745,201.722,302.53,176.562,147.082,408.24,209.478,201.565,199.279,266.427,319.599,892.407,263.901,363.682,89.966,179.454,493.704,305.282,193.165,304.638,76.257,128.365,247.55,135.141,206.154,130.296,103.383,139.009,334.163
"Cass",518.125,412.879,79.895,530.049,238.04,407.828,806.934,105.177,437.955,370.382,26.789,285.246,124.38,0,435.402,518.628,256.95,323.743,180.664,273.454,184.643,673.132,156.792,112.837,391.193,294.647,356.426,823.333,371.312,260.229,125.487,849.776,267.56,211.009,198.215,234.384,714.731,310.977,172.273,73.937,361.999,147.382,821.168,50.647,308.404,419.211,226.988,439.59,293.701,-1,331.533,304.933,793.199,203.627,247.81,602.443,391.193,315.325,319.247,284.194,202.932,483.341,177.702,204.013,341.493,234.651,433.202,880.757,281.893,477.285,92.414,260.403,577.032,388.61,306.768,418.241,52.401,241.968,368.651,53.144,319.757,251.397,224.484,260.11,336.611
"Charlevoix",222.207,199.126,353.288,182.696,370.182,232.862,468.359,372.654,18.503,127.185,431.868,200.518,417.648,435.774,0,90.192,214.826,207.918,455.675,243.313,351.612,403.596,380.335,426.356,108.391,324.274,212.559,541.232,78.295,274.237,446.793,511.201,455.351,372.131,315.597,390.165,438.986,222.711,399.072,370.909,73.983,289.332,482.593,444.956,368.171,125.802,460.405,72.296,308.036,-1,428.287,178.741,352.171,359.922,232.71,406.332,108.391,258.702,121.681,485.454,269.1,115.418,312.667,255.666,403.536,255.919,176.954,534.707,179.597,261.877,349.623,492.463,159.919,135.347,281.993,390.973,385.647,368.875,456.808,418.364,307.471,443.686,414.347,441.587,117.574
"Cheboygan",168.251,216.442,437.332,126.401,387.498,250.178,409.489,446.92,81.214,230.466,515.912,308.231,434.964,519.818,90.158,0,271.989,225.234,472.991,260.629,368.928,344.726,397.651,443.672,211.672,341.59,229.875,482.362,181.576,291.553,464.109,452.331,472.667,389.447,344.084,407.481,380.116,240.027,416.388,454.953,145.138,373.376,423.723,529,385.487,229.083,477.721,80.597,325.352,-1,445.603,305.203,293.301,377.238,280.79,347.462,211.672,276.018,199.268,502.77,329.868,71.445,396.711,339.71,420.852,356.47,194.27,475.837,264.055,204.504,433.667,509.779,97.427,152.663,299.309,408.289,469.691,386.191,474.124,502.408,324.787,461.002,431.663,458.903,211.091
"Chippewa",289.944,144.903,175.686,293.001,198.334,147.768,664.112,195.052,216.914,149.235,254.266,97,245.8,258.172,214.361,273.353,0,50.202,286.918,67.06,179.764,599.349,208.487,182.629,170.046,188.774,92.085,736.985,150.271,102.389,274.945,706.954,309.404,200.283,103.224,218.317,634.739,49.389,227.224,193.307,140.958,111.73,678.346,267.354,232.671,198.17,288.557,194.315,155.206,-1,292.787,150.749,547.924,188.074,19.15,378.17,170.046,101.549,81.664,339.507,69.5,246.293,135.065,73.809,268.036,104.295,148.625,730.46,26.948,217.225,172.021,358.207,331.757,143.335,146.493,255.473,208.045,202.262,321.308,240.762,171.971,297.67,268.331,295.64,115.464
"Clare",241.601,96.56,223.762,244.658,162.031,99.425,615.769,221.453,192.463,146.231,337.869,118.102,209.497,323.004,208.111,225.01,50.156,0,250.615,35.162,143.461,551.006,172.184,218.205,167.042,139.73,43.742,688.642,147.267,66.086,238.642,658.611,270.807,163.98,118.617,182.014,586.396,14.56,190.921,254.19,138.22,159.806,630.003,315.43,183.627,195.166,252.254,145.972,123.492,-1,243.743,147.745,499.581,151.771,60.236,399.272,167.042,52.505,78.66,300.91,109.55,197.95,183.141,132.754,218.992,159.262,100.282,682.117,48.461,168.882,220.097,307.919,283.414,94.992,97.449,206.429,273.142,165.959,272.264,288.838,122.927,259.142,229.803,257.043,112.46
"Clinton",369.228,263.982,209.687,419.465,108.351,258.931,863.615,155.517,440.309,393.144,239.465,378.201,103.083,180.503,455.957,472.856,278.138,241.514,0,213.91,119.982,798.852,104.738,119.801,413.955,145.934,276.351,936.488,394.18,178,67.48,906.457,63.104,76.029,177.465,63.834,834.242,228.748,50.037,155.786,386.066,220.604,877.849,257.138,159.691,442.079,24.323,393.818,173.289,-1,142.891,411.123,747.427,91.016,257.337,626.898,413.955,222.022,333.904,55.513,226.564,391.957,283.892,275.845,131.004,340.841,284.305,929.963,295.275,328.388,188.447,68.615,445.934,324.131,179.599,232.582,174.738,115.614,165.811,233.622,170.86,46.941,33.428,55.654,359.373
"Crawford",277.007,147.024,191.812,280.064,134.036,141.973,651.175,193.458,227.869,186.886,270.392,158.658,181.502,274.298,243.517,260.416,67.06,35.256,222.62,0,115.466,586.412,144.189,190.21,207.697,134.668,79.148,724.048,187.922,38.091,210.647,694.017,245.106,135.985,83.277,154.019,621.802,22.49,162.926,209.433,173.626,127.856,665.409,283.48,175.65,235.821,224.259,181.378,90.908,-1,235.766,188.4,534.987,123.776,46.322,439.828,207.697,53.314,127.646,275.209,72.67,233.356,151.191,100.804,211.015,154.988,135.688,717.523,89.017,211.43,188.147,293.909,318.82,130.398,85.148,209.507,224.171,137.964,264.287,256.888,126.005,233.372,204.033,231.342,153.115
"Delta",340.926,235.68,149.14,389.155,60.841,230.629,760.266,83.5,336.96,295.977,199.916,257.778,71.544,185.051,352.608,369.507,180.971,144.347,129.707,116.743,0,695.503,34.231,80.252,316.788,117.448,188.239,833.139,297.013,80.833,117.734,803.108,152.193,43.072,57.042,61.106,730.893,131.581,70.013,116.237,282.717,100.181,774.5,217.589,131.205,344.912,131.346,290.469,116.502,-1,189.045,290.7,644.078,30.863,139.528,506.475,316.788,135.929,236.737,182.296,106.141,342.447,163.469,155.422,164.294,220.418,256.003,826.614,198.108,300.086,145.475,200.996,427.911,239.489,129.569,241.042,135.189,64.769,212.837,194.073,142.558,140.459,111.12,138.429,262.206
"Dickinson",512.348,541.523,507.493,470.498,712.579,575.259,137.034,562.99,393.705,423.359,648.332,351.979,623.537,671.109,402.649,344.096,597.07,550.315,798.072,585.71,694.009,0,722.732,611.994,536.753,666.671,554.956,147.077,506.657,616.634,789.19,179.876,797.748,714.528,531.341,732.562,44.831,565.108,741.469,561.245,470.219,479.668,151.268,625.291,710.568,554.164,802.802,405.678,650.433,-1,770.684,371.666,125.453,702.319,456.695,115.813,536.753,601.099,524.349,827.851,493.085,418.508,419.766,443.108,745.933,360.669,519.351,192.815,431.239,563.936,539.959,834.86,441.524,477.744,624.39,733.37,575.983,711.272,799.205,647.318,649.868,786.083,756.744,783.984,437.622
"Eaton",367.192,261.946,142.733,417.618,87.107,256.895,788.729,58.677,365.423,324.44,172.511,263.104,44.139,157.646,381.071,397.97,209.434,172.81,113.775,145.206,33.71,723.966,0,52.847,345.251,143.714,216.702,861.602,325.476,109.296,111.705,831.571,149.368,43.674,62.288,83.451,759.356,160.044,54.081,88.832,311.18,105.507,802.963,190.184,157.471,373.375,115.414,318.932,142.768,-1,198.064,296.026,672.541,31.465,144.774,511.801,345.251,164.392,265.2,179.471,111.387,370.91,168.795,160.748,190.56,225.744,282.269,855.077,226.571,326.352,121.493,182.363,456.374,267.952,155.835,267.308,107.784,91.035,235.182,166.668,168.824,133.205,106.292,160.774,290.669
"Emmet",409.334,304.088,98.693,459.76,129.249,299.037,830.871,43.742,407.565,355.421,128.471,293.063,20.666,113.606,420.441,440.112,182.633,214.952,128.253,187.348,75.852,610.66,48.001,0,376.232,185.856,258.844,914.341,356.351,151.438,86.676,873.713,163.846,107.295,79.409,125.593,652.259,202.186,68.559,44.792,347.038,132.421,845.105,146.144,199.613,404.25,129.892,361.074,184.91,-1,227.819,324.196,714.683,94.836,161.895,539.971,376.232,206.534,304.286,193.949,128.508,413.052,196.965,189.052,232.702,253.914,324.411,897.219,266.932,368.494,77.453,196.841,498.516,310.094,197.977,309.45,63.744,133.177,264.937,122.628,210.966,147.683,120.77,156.396,321.65
"Federal Correctional Institution (FCI)",256.082,199.232,308.685,235.152,334.902,232.968,602.529,328.051,126.887,52.647,387.265,143.659,388.598,391.171,108.384,211.77,170.093,167.106,423.486,208.033,316.332,537.766,345.055,377.055,0,310.647,182.836,675.402,30.435,238.957,411.513,645.371,441.724,336.851,270.994,354.885,573.156,187.431,363.792,326.306,69.132,244.729,616.763,400.353,354.544,33.305,425.125,132.758,294.409,-1,414.66,104.203,486.341,324.642,188.107,404.925,0,223.422,104.402,471.827,224.497,188.444,238.253,185.009,389.909,179.156,177.06,668.877,134.864,261.983,305.02,478.836,270.174,135.453,268.366,377.346,341.044,338.83,443.181,373.761,293.844,430.059,400.72,427.96,60.729
"Genesee",237.479,132.233,248.186,287.716,68.962,127.182,731.866,192.188,308.56,289.849,308.604,261.621,180.232,293.739,324.208,341.107,189.334,140.336,145.57,134.584,114.409,667.103,142.919,188.94,310.66,0,144.602,804.739,290.885,98.674,209.59,774.708,145.246,110.14,156.088,101.577,702.493,140.54,161.869,224.925,254.317,199.227,746.1,326.277,38.576,338.784,169.894,262.069,44.361,-1,99.481,291.363,615.678,122.719,173.942,669.839,310.66,90.273,230.609,175.349,151.095,260.208,262.515,254.468,89.135,319.464,152.556,798.214,191.98,196.639,244.521,182.358,314.185,192.382,47.85,120.502,243.877,58.615,127.213,302.761,26.297,133.581,104.242,131.482,256.078
"Gladwin",166.416,53.254,274.304,202.154,199.69,56.119,619.683,265.506,196.377,161.978,352.884,152.282,253.55,367.057,212.025,228.924,90.575,43.82,276.143,79.215,187.514,554.92,216.237,262.258,182.789,144.742,0,692.556,163.014,110.139,282.695,662.525,275.819,208.033,162.67,226.067,590.31,58.613,234.974,298.243,142.134,210.348,633.917,365.972,188.639,210.913,296.307,149.886,128.504,-1,248.755,163.492,503.495,195.824,99.376,557.656,182.789,57.517,96.154,305.922,148.454,201.864,233.683,176.682,224.004,193.442,49.039,686.031,82.641,125.576,270.639,312.931,228.623,65.128,102.461,211.441,317.195,189.343,277.276,339.38,127.939,264.154,234.815,262.055,128.207
